URL,Title,Authors,Text,TF_IDF_Summary
https://www.bbc.com/news/live/world-middle-east-67831997,Israel-Gaza war latest: IDF admits 'extensive collateral damage' in Gaza camp strike,['Author not found'],"More than 21,000 Palestinians have been killed in Gaza since the conflict began, the Hamas-run health ministry there says.

Doctors say the death toll doesn't include bodies buried under rubble or those not taken to hospital.

The World Health Organization has called the figures reliable.

Weapons used

Military experts say the wide variety of bombs used by Israel - some as large as 2000lb - contribute to the scale of fatalities.

According to US intelligence assessments seen by CNN, Israel dropped more than 29,000 bombs on Gaza between the start of the war and mid-December, with 40-45% of these unguided.

Population density

What can make bombs even more devastating is that Gaza has a very high population density.

On average, before the conflict, there were more than 5,700 people per sq km in Gaza - similar to the average density in London.

What does Israel say?

The Israel Defense Forces (IDF) says it takes steps to avoid harming civilians, including giving warnings before strikes.

It also says Hamas uses Gaza's population as human shields.

Read more about Gaza's death toll here.","More than 21,000 Palestinians have been killed in Gaza since the conflict began, the Hamas-run health ministry there says.
Doctors say the death toll doesn't include bodies buried under rubble or those not taken to hospital.
What does Israel say?
It also says Hamas uses Gaza's population as human shields.
Read more about Gaza's death toll here."
https://www.bbc.com/news/world-middle-east-67831478,Israel Gaza war: Israel warns Hezbollah and Lebanon over border fighting,['Author not found'],"Israel Gaza war: Israel warns Hezbollah and Lebanon over border fighting

By James Gregory BBC News

AFP

Fighting on the Israeli-Lebanese border earlier this week

Israel will act to remove Hezbollah from the border with Lebanon if the militia group's attacks continue, an Israeli minister has warned.

Benny Gantz said the Israeli military would intervene if militants do not stop firing on northern Israel.

Time for a diplomatic solution was running out, he added.

Meanwhile, the head of the Israel Defense Forces said troops were in ""very high readiness"" for more fighting in the north.

""Our first task is to restore security and the sense of security to the residents in the north, and this will take time,"" Chief of the General Staff Lt Gen Herzi Halevi said, after conducting a ""situational assessment"".

Cross-border exchanges of fire have been escalating since Hamas's 7 October attacks on Israel.

On Wednesday, Hezbollah launched its highest number of cross-border attacks in a day since 8 October, security sources told Reuters.

It has led to concerns the conflict in Gaza could become wider across the region.

""The situation on Israel's northern border demands change,"" Mr Gantz told a press conference on Wednesday night.

""The stopwatch for a diplomatic solution is running out. If the world and the Lebanese government don't act in order to prevent the firing on Israel's northern residents, and to distance Hezbollah from the border, the IDF will do it.""

Earlier this month, Israeli Prime Minister Benjamin Netanyahu said on a visit to troops near the border that Israel would ""single-handedly turn Beirut and South Lebanon, not far from here, into Gaza and Khan Yunis"" if Hezbollah started an all-out war.

Hezbollah - a Shia Muslim organisation - is designated a terrorist organisation by Western states, Israel, Gulf Arab countries and the Arab League.

Funded by Iran, it is one of the most heavily-armed, non-state military forces in the world.

In 2006, a full-blown war between Hezbollah and Israel was triggered when Hezbollah carried out a deadly cross-border raid, with Israeli troops invading southern Lebanon.

At the border, there has been an increase in rocket fire and the use of weaponised drones by Hezbollah this week, with Israeli war planes quick to respond.

On Thursday, Israeli forces said they intercepted a drone crossing into their territory from Lebanon.

And on Wednesday, state media in Lebanon reported that a Hezbollah fighter and two of his relatives had been killed in an Israeli air strike.

The attack reportedly hit a house in Bint Jbeil, a town about 2km (1.2 miles) from the border with Israel.

A Hezbollah statement said one of the victims, Ibrahim Bazzi, was an Australian citizen visiting his family.

More than 100 people have been killed in Lebanon since October - most of them Hezbollah fighters but civilians, including three journalists, are also among the dead.

On the Israeli side, at least four civilians and nine soldiers are known to have died on the Lebanon border since hostilities began. Thousands of civilians living in dozens of communities in the area have been evacuated by the army.

Meanwhile, Unifil - the UN peacekeeping force that has operated in southern Lebanon since 1978 - called on Lebanese authorities to investigate after one of its troops was wounded in the country's south.

Unifil said a patrol was attacked ""by a group of young men"" in Taybeh, with a vehicle also damaged.

Hezbollah's leadership praised the unprecedented cross-border attack launched by Hamas gunmen on southern Israel on 7 October, in which at least 1,200 people were killed - most of them civilians - and about 240 others were taken hostage.

More than 21,100 people have been killed by Israeli forces in Gaza - mostly children and women - during 11 weeks of fighting, according to the Hamas-run health ministry.","Israel Gaza war: Israel warns Hezbollah and Lebanon over border fightingBy James Gregory BBC NewsAFPFighting on the Israeli-Lebanese border earlier this weekIsrael will act to remove Hezbollah from the border with Lebanon if the militia group's attacks continue, an Israeli minister has warned.
Meanwhile, the head of the Israel Defense Forces said troops were in ""very high readiness"" for more fighting in the north.
In 2006, a full-blown war between Hezbollah and Israel was triggered when Hezbollah carried out a deadly cross-border raid, with Israeli troops invading southern Lebanon.
On the Israeli side, at least four civilians and nine soldiers are known to have died on the Lebanon border since hostilities began.
More than 21,100 people have been killed by Israeli forces in Gaza - mostly children and women - during 11 weeks of fighting, according to the Hamas-run health ministry."
https://www.bbc.com/news/world-europe-67827443,Russian celebs at 'almost naked' party stung by backlash,['Author not found'],"Russian celebs at 'almost naked' party stung by backlash

By Steve Rosenberg Russia Editor

Instagram/_AGENTGIRL_

Nastya Ivleeva and Philipp Kirkorov were pictured during the party

This is Partygate: Russia-style.

What happened at a Moscow nightclub was bizarre. What happened next says so much about the current atmosphere in Russia.

On 20 December, blogger and TV presenter Nastya Ivleeva threw an ""Almost Naked Party"" at Moscow's Mutabor nightclub.

Dress code? More like an undress code.

Scantily clad pop stars and celebrities attended the soiree. Including Russian rapper Vacio [real name Nikolai Vasiliev]. He turned up wearing only training shoes and one strategically placed sock.

It was a private party. But it became very public when videos and photos appeared on social media. Overnight, Vacio's became the most famous sock in Russia. And not in a good way.

There was uproar. Pro-Kremlin bloggers, MPs and activists, who support the war in Ukraine, were furious: how could celebrities be out partying like this while Russian soldiers were putting their lives on the line in the ""special military operation""?

For the revellers, the party was well and truly over. Rapper Vacio was arrested and jailed for 15 days for ""disorderly conduct"". He was also fined 200,000 roubles (£1,700; $2,200) for ""promoting non-traditional sexual relations"".

The organiser of the ""Almost Naked Party"", Nastya Ivleeva, is facing legal action. More than 20 people have signed a class-action lawsuit. They're demanding she pay a billion roubles (£8.5m) to the Defender of the Fatherland Foundation, an organisation that donates money to participants of the Kremlin's ""special operation"".

Other partygoers are facing the music, too.

Johnny Nunez/WireImage

Russian Eurovision veteran Dima Bilan insisted he was fully clothed and had no idea what other guests would wear

There's talk of concert dates being cancelled and advertising contracts terminated. Reports, too, that some of the stars are being edited out of pre-recorded New Year's Eve entertainment shows on Russian TV.

Big names - suddenly cancelled.

Cue the video messages.

One by one, the prominent party guests have been taking to social media - some to apologise for their attendance, others to insist they've done nothing wrong.

""I recognise I made a mistake,"" declared the now fully dressed megastar Philipp Kirkorov. ""The last thing I want is for such an event, my mistake, to result in restrictions on my career in Russia, the only country I exist in as an artist and as a citizen.""

""I wore a polo-neck, a big trench coat, trousers and shoes,"" said pop star Dima Bilan. ""I couldn't know in advance what the other guests would be wearing.""

Stephane Cardinale/Corbis

Until now, Philipp Kirkorov has been a staple of Russia's pre-recorded New Year's Eve TV schedule

""Тhey say that Russia knows how to forgive. If so, I would like to ask you, the people, for a second chance,"" said Nastya Ivleeva in her video message.

""If the answer is no, then I'm ready for my public execution. I won't shy away. I'm ready for any outcome.""

Events of the last few days will have come as a shock to these celebrities.

Following the Kremlin's full-scale invasion of Ukraine, they had taken the conscious decision to remain in Russia and continue their careers, and often lavish lifestyles, here. Public criticism was reserved for those anti-war celebs who had left Russia.

Not any more. But why?

It seems to me that Russia's political system, increasingly, relies on scapegoats. It needs groups or individuals it can point to and blame for problems at home and abroad.

Up till now, those scapegoats have included Ukraine, the US, the UK, the EU and Nato.

Now, it seems, some Russian celebrities are on the list.

In a social media post, this is how exiled Russian opposition activist Maxim Katz summed up events: ""In the past, there was a simple social contract with people who went to parties like this: do whatever you want as long as you stay loyal.

""But life is no party now. These ostentatious displays contrast with reality outside. You can't flippantly party in a country waging war.","Russian celebs at 'almost naked' party stung by backlashBy Steve Rosenberg Russia EditorInstagram/_AGENTGIRL_Nastya Ivleeva and Philipp Kirkorov were pictured during the partyThis is Partygate: Russia-style.
On 20 December, blogger and TV presenter Nastya Ivleeva threw an ""Almost Naked Party"" at Moscow's Mutabor nightclub.
The organiser of the ""Almost Naked Party"", Nastya Ivleeva, is facing legal action.
Reports, too, that some of the stars are being edited out of pre-recorded New Year's Eve entertainment shows on Russian TV.
If so, I would like to ask you, the people, for a second chance,"" said Nastya Ivleeva in her video message."
https://www.bbc.com/news/world-us-canada-67833339,Gypsy Rose Blanchard released early from US prison,['Author not found'],"Gypsy Rose Blanchard released early from US prison

By Mike Wendling BBC News

Blanchard family

Gypsy Rose Blanchard with her mother Dee Dee Blanchard

A woman who conspired to kill her abusive mother in a case that gripped the US has been released early from prison.

Gypsy Rose Blanchard, 32, pleaded guilty to the second-degree murder of Dee Dee Blanchard in Missouri in 2015.

She plotted with her boyfriend, Nicholas Godejohn, to kill her mother following years of abuse.

He stabbed Dee Dee Blanchard to death with a knife her daughter gave him and the pair fled the scene.

They were then arrested hundreds of miles away in Wisconsin where Godejohn lived. He is serving a life sentence without parole.

The case sparked intense media interest and spawned a number of documentary series and TV shows.

Gypsy Rose Blanchard walked out of Chillicothe Correctional Center in Missouri at 03:30 local time (09:30 GMT) on Thursday having served seven years of a 10-year sentence.

While in prison, she gave a number of interviews detailing her mother's abusive behaviour and a memoir she wrote while behind bars is due to be published in January.

In a recent interview with People Magazine she said: ""Nobody will ever hear me say I'm glad she's dead or I'm proud of what I did. I regret it every single day.""

Dee Dee Blanchard allegedly abused her daughter for years by convincing her that she was disabled and required medical support.

She told people that Blanchard had multiple conditions including epilepsy, vision impairments and muscular dystrophy.

She received support from charities and sought treatment from dozens of doctors, often portraying her daughter as younger than she actually was and subjecting her to unneeded medical treatments.

Blanchard used a wheelchair, feeding tube and an oxygen tank even though she could walk and had no health issues.

She later said her mother kept her weak and isolated. Blanchard soon became more interested in the outside world, making a dating profile and meeting Godejohn.

""I wanted to be free of her hold on me,"" she said during Godejohn's trial. ""I talked him into it.""

She reached a plea deal with prosecutors due to the abuse she had suffered, which meant a 10-year sentence in exchange for pleading guilty.","Gypsy Rose Blanchard released early from US prisonBy Mike Wendling BBC NewsBlanchard familyGypsy Rose Blanchard with her mother Dee Dee BlanchardA woman who conspired to kill her abusive mother in a case that gripped the US has been released early from prison.
Gypsy Rose Blanchard, 32, pleaded guilty to the second-degree murder of Dee Dee Blanchard in Missouri in 2015.
He stabbed Dee Dee Blanchard to death with a knife her daughter gave him and the pair fled the scene.
Gypsy Rose Blanchard walked out of Chillicothe Correctional Center in Missouri at 03:30 local time (09:30 GMT) on Thursday having served seven years of a 10-year sentence.
Dee Dee Blanchard allegedly abused her daughter for years by convincing her that she was disabled and required medical support."
https://www.bbc.com/news/entertainment-arts-67832513,Cher files for conservatorship for son Elijah,['Author not found'],"Cher files for conservatorship for son Elijah

By Emma Saunders Entertainment reporter

Getty Images

Elijah Blue Allman and Cher pictured in 2002

Cher has filed for a conservatorship of her son Elijah Blue Allman due to his alleged substance abuse and mental health issues.

Court documents seen by the BBC claim Mr Allman, 47, is ""substantially unable to manage his financial resources"".

In the documents, lawyers for Cher say a conservator is ""urgently needed"" to protect his property and physical and mental health.

Cher's publicist has been approached for comment.

Mr Allman has not commented publicly on the legal filing. He recently posted the hashtag ""#imprisonmentviaconservatorship"" on an Instagram post.

A conservatorship is granted by a court for individuals who are unable to make their own decisions, like those with dementia or other mental illnesses.

It can be used to manage a person's financial affairs or personal affairs or both.

Mr Allman is due to receive assets from a trust before the end of the year.

The documents state he is entitled to regular payments from the trust set up by his late father, musician Gregg Allman.

The court papers, filed in Los Angeles Superior Court, state Mr Allman is ""currently unable to manage his assets due to severe mental health and substance abuse issues"".

The filing adds: ""Elijah is entitled to regular distributions from the trust, but given his ongoing mental health and substance abuse issues, [Cher] is concerned that any funds distributed to Elijah will be immediately spent on drugs, leaving Elijah with no assets to provide for himself and putting Elijah's life at risk.""

It says that Cher, 77, has ""worked tirelessly to get Elijah into treatment and get him the help he needs"".

A hearing for a temporary order is currently set for 5 January, with the hearing on a permanent order scheduled for 6 March.

Cher recently denied allegations that she hired four men to kidnap Mr Allman from a New York City hotel room.

The singer told People Magazine ""that rumour is not true"".

Cher was married to Greg Allman from 1975 to 1979. She was previously married to her former singing partner Sonny Bono from 1964 to 1975. She also has a child, Chaz Bono, from that relationship.

Britney Spears was released from a 13-year conservatorship in 2021.","Cher files for conservatorship for son ElijahBy Emma Saunders Entertainment reporterGetty ImagesElijah Blue Allman and Cher pictured in 2002Cher has filed for a conservatorship of her son Elijah Blue Allman due to his alleged substance abuse and mental health issues.
Court documents seen by the BBC claim Mr Allman, 47, is ""substantially unable to manage his financial resources"".
Mr Allman has not commented publicly on the legal filing.
It says that Cher, 77, has ""worked tirelessly to get Elijah into treatment and get him the help he needs"".
Cher recently denied allegations that she hired four men to kidnap Mr Allman from a New York City hotel room."
https://www.bbc.com/news/science-environment-67718719,World's tallest wooden wind turbine starts turning,['Author not found'],"World's tallest wooden wind turbine starts turning

By Jonah Fisher BBC environment correspondent in Skara, Sweden

Modvion

Engineers work on the construction of the world's tallest wooden turbine tower

What is made from the same wood as a Christmas tree, held together by glue and manufactured in a Swedish factory for assembly later?

If that calls to mind flat-pack furniture and meatballs, you're wrong.

If you answered ""a wooden wind turbine"", you could be a visionary.

According to Modvion, the Swedish start-up that has just built the world's tallest wooden turbine tower, using wood for wind power is the future.

""It's got great potential,"" Otto Lundman, the company's chief executive, says as we gaze upwards at the firm's brand new turbine, a short drive outside Gothenburg.

It's 150m (492ft) to the tip of the highest blade and we are the first journalists to be invited to have a look inside. The 2 megawatt generator on top has just started supplying electricity to the Swedish grid, providing power for about 400 homes.

The dream of Lundman and Modvion is to take the wood and wind much higher.

Steel limitations

On the horizon near the Modvion project, several very similar-looking turbines are turning.

Steel, not wood, is the key material for them, as it is for almost all of the world's turbine towers. Strong and durable, steel has enabled huge turbines and wind farms to be constructed on land and at sea.

Modvion

The blades and generator from this 150m wind turbine in Skara, Sweden, are made of conventional materials

But steel is not without its limitations, particularly for projects on land.

As demand has grown for taller turbines that harvest stronger winds with larger generators, the diameter of the cylindrical steel towers to support them has had to grow too.

In a world of road tunnels, bridges and roundabouts, many in the wind industry say getting those huge pieces of metal to turbine sites has become a real headache, in effect limiting how tall new steel turbines can be.

Wooden turbine or sauna?

From the outside, there is little obvious difference between the Modvion wooden turbine and its steel cousins.

Both have a thick white coating to protect them from the elements and blades made primarily from fibreglass attached to a generator, which produces electricity when it turns.

It is only when we go inside the tower that the differences becomes clear. The walls have a curved raw wood finish, not unlike a sauna.

Kevin Church/BBC

Otto Lundman of Modvion shows Jonah the interior of the wooden turbine

The 105m (345ft) tower's strength comes from the 144 layers of laminated veneer lumber (LVL) that make its thick walls.

By varying the grain of each of the 3mm-thick layers of spruce, Modvion says it has been able to control the wall's strength and flexibility. ""It's our secret recipe,"" says company co-founder - and former architect and boat builder - David Olivegren, with a smile.

At the factory, on the edge of Gothenburg, the thin layers of wood have been glued and compressed together to make the curved sections. Those pieces are then taken on site, glued together into cylinders and then stacked on top of each other to make the tower.

""Wood and glue is the perfect combination, we've known that for hundreds of years,"" Olivegren says. ""And because using wood is lighter [than steel] you can build taller turbines with less material.""

David Olivegren of Modvion inspects a modular section of the wooden turbine tower in the factory

Lundman and Olivegren tell me their turbine's big selling point is that, by using wood and glue, towers can be built in smaller, more easily transported modules.

That will make it much easier to build really tall towers, they say, and to take the pieces to challenging locations.

However, Dr Maximilian Schnippering, head of sustainability at Siemens Gamesa - one of the worlds largest turbine manufacturers - says more pieces are likely to mean more trucks, more people and more time to complete the installation. He considers the modular system ""an advantage"" and that wooden towers can ""nicely complement"" steel towers.

Siemens Gamesa's efforts are focused on reducing the carbon footprint of the steel it uses, he says.

Inside the Modvion tower, I am shown how the wooden modules have been stacked on top of each other and how they are held by steel fittings that are then glued into place.

""The industry wants to build turbines with a 300m [blade] tip height, which means a tower which is 200m or more in height. With modularity you can do that,"" says Lundman.

The wooden parts of the turbine tower are glued together on site

Steel could of course be modular too, with the cylinders cut up into smaller pieces, but the extra effort needed to then bolt the pieces together adds both to costs and to maintenance.

One of the investors in Modvion is renewable energy giant Vestas. It has installed more wind power capacity around the world than any other.

Jan Hagen, its chief technology officer for northern and central Europe, tells me they see ""tremendous potential"" in the market for taller turbines, with wooden turbines ""particularly well suited"" to play a role.

""What we find interesting about this is that its combination of an economically viable solution that addresses the transport bottleneck and a sustainable solution,"" Hagen says.

Negative carbon footprint

Though wind power is cheaper and cleaner than almost all other forms of electricity generation, making steel involves extremely hot furnaces and almost always the burning of fossil fuels. That means CO2 emissions - the main driver of climate change.

Modvion says using wood instead of steel eliminates the wind turbines' carbon footprint entirely, making them carbon negative.

That's because the trees take carbon dioxide out of the atmosphere when they are alive and, when they are chopped down, the carbon is stored in the wood. As long as the wood doesn't end up rotting or being burned, the carbon is not released.

About 200 trees went into Modvion's turbine tower. They were the same species - spruce - that is used for Christmas trees and the company says they are farmed sustainably, meaning when they are harvested more are planted.

SSE Renewables, one of the UK's largest producers of wind power, told the BBC it was aware of Modvion's work and that it would be looking into wooden towers as ""an alternative technology"" to steel. However, many of SSE's projects are offshore, which can be reached using huge ships - meaning the modular transport benefits are less pronounced.

Modvion says it is hoping to build another even taller turbine soon and, if all goes well, it will open a facility that will produce 100 wooden modular turbines a year in 2027.

""The industry is currently putting up 20,000 turbines a year,"" Lundman says. ""Our ambition is that in 10 years time 10% of those turbines - about 2000 - will be wooden.""","World's tallest wooden wind turbine starts turningBy Jonah Fisher BBC environment correspondent in Skara, SwedenModvionEngineers work on the construction of the world's tallest wooden turbine towerWhat is made from the same wood as a Christmas tree, held together by glue and manufactured in a Swedish factory for assembly later?
If you answered ""a wooden wind turbine"", you could be a visionary.
According to Modvion, the Swedish start-up that has just built the world's tallest wooden turbine tower, using wood for wind power is the future.
From the outside, there is little obvious difference between the Modvion wooden turbine and its steel cousins.
He considers the modular system ""an advantage"" and that wooden towers can ""nicely complement"" steel towers."
https://www.bbc.com/news/world-europe-67826487,Ukraine war: Does attack on Russian ship make a difference?,['Author not found'],"Ukraine war: Does attack on Russian ship make a difference?

By James Waterhouse BBC Ukraine correspondent

Maxar Technologies

Satellite images showed the landing ship Novocherkassk docked at Feodosiya first on 5 December (L), then on 26 December

It was an explosion which filled the sky and lifted Ukrainian morale.

For Kyiv, the sight of Russia's Novocherkassk landing ship being hit in an air strike was a much-needed boost.

With Russia gaining the upper hand in recent weeks and the West's support stuttering, Ukraine has produced another dramatic missile strike in occupied Crimea.

Spectacular? No doubt. But was it significant?

""As a battleship, you might think it's not crucial,"" explains Alina Frolova, who was Ukraine's deputy defence minister between 2019-2020 and is now with the country's Centre for Defence Strategies.

""But we need to look at the full context, it's a step-by-step process.""

Both Ukraine and the UK now say that 20% of Russia's Black Sea Naval Fleet has been destroyed since the start of its full-scale invasion - no mean feat for Ukraine, a country whose navy barely has any ships.

Mostly, Russia's vessels have been destroyed with long-range Storm Shadow missiles supplied by the West.

Watch: Huge explosion as Russian warship hit by missile

That has diminished Russia's ability to launch missile strikes from the sea, and any possibility of it mounting an amphibious attack from the sea is even less likely. It has also unblocked ports like Odesa which has allowed Ukrainian and international cargo ships to travel along an unofficial route.

Frolova thinks this latest strike in Feodosia is a continuation of Ukraine squeezing Russian supply routes to Crimea, and therefore weakening Moscow's grip on the peninsula, which it has held since seizing it in 2014.

""It demonstrates Ukraine's Air Force can operate in the face of Russian air defences,"" she says. ""Ships like this are used to deliver ammunition and drones. Based on the detonation, there were a substantial number of explosives on board.""

Ukraine's Navy claims up to 80 people were on board too.

Land, sea and air

There are four ways Russia supplies Crimea, according to Serhiy Kuzan, co-founder of the Ukrainian Security and Co-operation Centre think-tank:

Over the Kerch Bridge, which connects Russia to Crimea

Through the land corridor Russia now occupies on mainland Ukraine

By flying cargo planes from Russia

By water through the Black Sea or Sea of Azov.

Kuzan is confident Russia will have felt this strike. He says because the Kerch Bridge was damaged from previous Ukrainian attacks, Moscow had to look at other means to supply the Crimean peninsula.

Reuters

Russia says the Novocherkassk was damaged, while Ukraine says it was destroyed (file image)

""Ships allow them to move large loads relatively quickly,"" he says. ""These large ships are intended for carrying up to 500 tonnes of people and equipment.""

The Novocherkassk was one of 12 Russian landing ships, according to Kuzan, of which he says Ukraine has now destroyed half.

Kherson, but bigger

Moscow is currently able to control the front lines in Ukraine. But Kuzan suggests these are not disconnected from Crimea.

""We can't separate the peninsula from the south of Ukraine, namely the occupied parts of the Zaporizhzhia and Kherson regions,"" he says.

As with the liberation of Kherson city last year, Kuzan is optimistic the battles at the front could move in Ukraine's favour if they could eventually lessen Russia's air superiority and frustrate its supply lines to its troops.

This is exactly what led to invading forces retreating across the Dnipro river to the eastern bank in November 2022.

But this time we are talking about a lot more territory. And it is a different story in the east, where Moscow has captured almost all of the town of Mariinka.

Should Ukrainian land forces ever reach Crimean soil, the battle for its liberation would likely be bloody. By carrying out these missile strikes Kyiv is playing the long game by trying to make Russia's presence there untenable.

The problem for President Volodymyr Zelensky is, time is not Ukraine's friend. Some in the West want a faster return for the billions of dollars of aid they have provided so far.","Ukraine war: Does attack on Russian ship make a difference?
For Kyiv, the sight of Russia's Novocherkassk landing ship being hit in an air strike was a much-needed boost.
With Russia gaining the upper hand in recent weeks and the West's support stuttering, Ukraine has produced another dramatic missile strike in occupied Crimea.
ReutersRussia says the Novocherkassk was damaged, while Ukraine says it was destroyed (file image)""Ships allow them to move large loads relatively quickly,"" he says.
The Novocherkassk was one of 12 Russian landing ships, according to Kuzan, of which he says Ukraine has now destroyed half."
https://www.bbc.com/news/world-us-canada-67830918,Ukraine war: US releases last military aid for Kyiv for now,['Author not found'],"Ukraine war: US releases last military aid for Kyiv for now

By Mike Wendling BBC News

Reuters

A Ukrainian soldier near the front line in Donetsk this week

The White House has approved another tranche of US military aid to Ukraine worth some $250m (£195m).

The latest package includes air defence, artillery and small arms ammunition, and anti-tank weapons, US officials say.

But it marks the last funding available without fresh approval from Congress, where talks have stalled.

Ukraine has warned that the war effort and its public finances are at risk if further Western aid is not forthcoming.

Amid a stalled counter-offensive in the east of the country and a little-changed line of control, Ukrainian officials are facing the prospect of a slowdown in aid from allies in Washington and Europe.

Although the Ukraine war effort has broad support in the US Congress, an agreement on further arms has been stopped by Republicans who insist that tougher security measures on the US-Mexico border must be part of any military aid deal.

An emergency spending measure that would have provided $50bn for Ukraine and $14bn for Israel was defeated in the Senate earlier this month, with every Republican voting against it - along with Bernie Sanders, an independent who usually votes with Democrats but has expressed concerns about Israel's war against Hamas.

A subsequent visit by Ukrainian President Volodymyr Zelensky failed to sway lawmakers.

Wednesday's announcement will see the weapons pulled from existing Pentagon stocks, a move which does not need Congressional approval.

Secretary of State Antony Blinken said in a statement announcing the aid package that it was ""imperative that Congress act swiftly, as soon as possible, to advance our national security interests by helping Ukraine defend itself and secure its future"".

""Our assistance has been critical to supporting our Ukrainian partners as they defend their country and their freedom against Russia's aggression,"" he added.

Earlier this month a €50bn EU aid package for Ukraine was blocked by Hungary.

Ukraine is facing a $43bn budget deficit and officials say they may have to delay salaries and pensions for government employees if further aid from the West does not come soon.

""The support of partners is extremely critical,"" Ukraine's Deputy Prime Minister Yulia Svyrydenko, who also serves as the country's economy minister, said in an interview with the Financial Times on Wednesday. ""We need it urgently.""

The newspaper reported that talks were progressing on a smaller aid package that would not need Hungary's approval, which could be taken up in early February.

As funding has slowed from Ukraine's Western allies, Russian forces have continued to fight in the east of the country, where they seized a key town on Tuesday.","Ukraine war: US releases last military aid for Kyiv for nowBy Mike Wendling BBC NewsReutersA Ukrainian soldier near the front line in Donetsk this weekThe White House has approved another tranche of US military aid to Ukraine worth some $250m (£195m).
Ukraine has warned that the war effort and its public finances are at risk if further Western aid is not forthcoming.
Although the Ukraine war effort has broad support in the US Congress, an agreement on further arms has been stopped by Republicans who insist that tougher security measures on the US-Mexico border must be part of any military aid deal.
Earlier this month a €50bn EU aid package for Ukraine was blocked by Hungary.
The newspaper reported that talks were progressing on a smaller aid package that would not need Hungary's approval, which could be taken up in early February."
https://www.bbc.com/news/world-us-canada-67832595,Moment Swat team tears open lorry to arrest driver on Texas motorway,['Author not found'],"Copyright 2023 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.

Beta Terms By using the Beta Site, you agree that such use is at your own risk and you know that the Beta Site may include known or unknown bugs or errors, that we have no obligation to make this Beta Site available with or without charge for any period of time, nor to make it available at all, and that nothing in these Beta Terms or your use of the Beta Site creates any employment relationship between you and us. The Beta Site is provided on an “as is” and “as available” basis and we make no warranty to you of any kind, express or implied.

In case of conflict between these Beta Terms and the BBC Terms of Use these Beta Terms shall prevail.","Copyright 2023 BBC.
The BBC is not responsible for the content of external sites.
Read about our approach to external linking.
The Beta Site is provided on an “as is” and “as available” basis and we make no warranty to you of any kind, express or implied.
In case of conflict between these Beta Terms and the BBC Terms of Use these Beta Terms shall prevail."
https://www.bbc.com/news/world-us-canada-67835961,Nikki Haley says slavery was a US Civil War cause after backlash,['Author not found'],"Nikki Haley says slavery was a US Civil War cause after backlash

By Madeline Halpert BBC News, New York

Watch: Haley leaves out slavery as a cause of US Civil War

Republican presidential candidate Nikki Haley says the US Civil War was about slavery after facing criticism for not mentioning it as a cause during a town hall event.

A voter in New Hampshire on Wednesday asked her what caused the war.

Appearing startled by the question, she did not name slavery in her response.

""I think the cause of the Civil War was basically how government was going to run. The freedoms and what people could and couldn't do,"" she said.

Her remarks were quickly criticised by the voter who asked the question. He said that it was ""astonishing"" that she answered without mentioning the word slavery in the year 2023.

""What do you want me to say about slavery?"" Ms Haley responded.

But after facing a blowback on social media, the former United Nations ambassador and South Carolina governor acknowledged it as a cause on Thursday.

""Of course the Civil War was about slavery,"" she told CNN.

""We know that. That's the easy part of it. What I was saying was what does it mean to us today? What it means to us today is about freedom. That's what that was all about.""

Speaking to radio station The Pulse of NH on Thursday, Ms Haley also claimed the voter was a ""Democrat plant"".

The Wednesday event in Berlin, New Hampshire was a part of Ms Haley's push to win over voters before the early upcoming Republican primary election in the state.

Ms Haley has risen in opinion polls in recent weeks.

She faces her first test at the Iowa caucuses in early January. While she trails behind former President Donald Trump by a wide margin, she is neck-and-neck with Florida Governor Ron DeSantis, another high-profile challenger.

President Joe Biden was among the dozens of Democrats who criticised Ms Haley after her comments in New Hampshire. He posted a video of her exchange on X, formerly Twitter, with the caption: ""It was about slavery.""

Her Republican political opponents also seized on the controversy. A campaign account for Mr DeSantis shared a video of her comments with one word: ""Yikes"".

A number of civil rights scholars weighed in as well, saying the fight over slavery was a central cause of the Civil War.

South Carolina was the first state to secede during the Civil War and as a former state governor Ms Haley has faced questions about the issue before.

When she was running for governor in 2010, she described the Civil War as a conflict between two sides fighting for ""tradition versus change"".","Nikki Haley says slavery was a US Civil War cause after backlashBy Madeline Halpert BBC News, New YorkWatch: Haley leaves out slavery as a cause of US Civil WarRepublican presidential candidate Nikki Haley says the US Civil War was about slavery after facing criticism for not mentioning it as a cause during a town hall event.
""I think the cause of the Civil War was basically how government was going to run.
He said that it was ""astonishing"" that she answered without mentioning the word slavery in the year 2023.
A number of civil rights scholars weighed in as well, saying the fight over slavery was a central cause of the Civil War.
South Carolina was the first state to secede during the Civil War and as a former state governor Ms Haley has faced questions about the issue before."
