URL,Title,Authors,Text,Summary
https://www.bbc.com/news/live/world-middle-east-67687628,Israel-Gaza latest news: Minister says war will continue 'with or without' international support,['Author not found'],"Getty Images Copyright: Getty Images Mourners in Khan Younis, Gaza Strip, after an Israeli air strike on Wednesday Image caption: Mourners in Khan Younis, Gaza Strip, after an Israeli air strike on Wednesday

It has just gone 03:30 in Israel and Gaza, and 01:30 here in London. On a live video feed looking towards Gaza we are regularly hearing explosions and the buzzing of aircraft, possibly drones.

The Israeli Prime Minister, Benjamin Netanyahu, has said Israel will continue its war in Gaza until it achieves victory against Hamas. His comments come a day after the UN General Assembly adopted a non-binding resolution demanding a ceasefire.

Relations between Israel and the UN have reached an all-time low and fighting has continued to rage across Gaza as Israeli forces seek to root out Hamas members.

The group's head, Ismail Haniyeh, said he was open to any initiative that could end Israeli aggression but added that there could be no such arrangement that excluded Hamas.

The White House national security adviser, Jake Sullivan, has held talks with Crown Prince Mohammed bin Salman during a visit to Saudi Arabia.

Discussions focussed on the Gaza conflict and other regional issues, including efforts to deter Houthi attacks against commercial vessels in the Red Sea.

Sullivan will travel to Israel on Thursday for talks with Netanyahu and members of his war cabinet. US officials said he would be calling on the Israelis to be more surgical and precise with their strikes against Hamas targets in Gaza.","Getty Images Copyright: Getty Images Mourners in Khan Younis, Gaza Strip, after an Israeli air strike on Wednesday Image caption: Mourners in Khan Younis, Gaza Strip, after an Israeli air strike on WednesdayIt has just gone 03:30 in Israel and Gaza, and 01:30 here in London.
On a live video feed looking towards Gaza we are regularly hearing explosions and the buzzing of aircraft, possibly drones.
The Israeli Prime Minister, Benjamin Netanyahu, has said Israel will continue its war in Gaza until it achieves victory against Hamas.
Sullivan will travel to Israel on Thursday for talks with Netanyahu and members of his war cabinet.
US officials said he would be calling on the Israelis to be more surgical and precise with their strikes against Hamas targets in Gaza."
https://www.bbc.com/news/world-us-canada-67710761,US House votes to authorise Biden impeachment inquiry,['Author not found'],"US House votes to authorise Biden impeachment inquiry

By Bernd Debusmann Jr on Capitol Hill, Sam Cabral & Anthony Zurcher BBC News, Washington

Getty Images

Democrats have defended President Joe Biden over what they say is 'an extreme political stunt'

The US House of Representatives has voted to formalise its impeachment inquiry into President Joe Biden.

Lawmakers voted along party lines to back a resolution that Republicans say will give them more power to gather evidence and enforce legal demands.

Three Republican-led House committees allege bribery and corruption during Mr Biden's tenure as vice-president.

But they have yet to present evidence of wrongdoing, and Mr Biden says his opponents are ""attacking me with lies"".

The lower chamber of Congress, which Republicans control by a slim eight-seat margin, approved the inquiry on Wednesday afternoon by a vote of 221 to 212.

Voting to authorise an inquiry is not the same as voting for impeachment, but it advances the likelihood that the House will eventually seek to impeach Mr Biden.

In a statement, House Speaker Mike Johnson said the chamber ""will not prejudge the investigation's outcome"" but ""the evidentiary record is impossible to ignore"".

A formal impeachment investigation, that leads to a House vote and a Senate trial, could represent a major headache for the president in the midst of an election year.

But, even if the House ultimately opts to impeach the president, the Democrat-controlled Senate is all but certain to acquit him.

""The American people need their leaders in Congress to take action on important priorities for the nation and world,"" Mr Biden said in a statement following the vote.

""Instead of doing their job on the urgent work that needs to be done, they are choosing to waste time on this baseless political stunt that even Republicans in Congress admit is not supported by facts.""

In an animated debate ahead of the vote, Oklahoma Republican Tom Cole said his colleagues had been left with no choice but to bring the measure.

He said it was a ""sad day for myself, the institution and the American people"" and accused the White House of ""stonewalling"" the impeachment inquiry.

But Democrats expressed irritation over what they have dismissed as ""an extreme political stunt"".

Jamie Raskin of Maryland said the investigation ""isn't a whodunit, it's a what is it"".

""It's like an Agatha Christie novel, where the mystery is - what's the crime?"" he added.

Ex-Speaker Kevin McCarthy launched the inquiry in September and said Republicans had unearthed a ""culture of corruption"" surrounding Mr Biden.

Republicans have held one hearing related to the inquiry, during which two expert witnesses called by Republicans said there was not yet enough evidence to impeach the president.

The oversight committee claims the Biden family and its business associates received more than $24m (£19m) from foreign sources in China, Kazakhstan, Romania, Russia and Ukraine between 2014 and 2019.

Committee chairman James Comer has alleged that Mr Biden's relatives - in particular his son, Hunter - sold access to the then-vice-president and influence-peddled off ""the Biden brand"".

He has further alleged that the president ""spoke, dined, and developed relationships with"" his son's business partners.

Watch Hunter Biden: I've been the target of unrelenting 'Trump attack machine'

Following Wednesday's vote, Mr Comer told reporters that unanimous Republican backing for the inquiry sent a ""strong message"" to the administration.

""We have a simple question that a majority of Americans have - what did the Biden family do to get millions?"" he said.

Before and during his presidency, Mr Biden has said that he never talked business with Hunter Biden or his associates and that his son made no money off unethical overseas ventures.

The White House has also pushed back on the claim it is refusing to co-operate and criticised the inquiry on Wednesday as an abuse of power by House Republicans.

Hunter Biden has long been viewed by Republicans as the greatest political liability for his father.

If they are able to link his business dealings and personal conduct to the president, and perhaps even if they are not, it has the potential to damage the elder Mr Biden's standing with American voters.

As Mr Biden, 81, gears up for re-election, he is likely to face off against Donald Trump, 77, a twice-impeached former president and the current Republican frontrunner, in the November 2024 general election.","US House votes to authorise Biden impeachment inquiryBy Bernd Debusmann Jr on Capitol Hill, Sam Cabral & Anthony Zurcher BBC News, WashingtonGetty ImagesDemocrats have defended President Joe Biden over what they say is 'an extreme political stunt'The US House of Representatives has voted to formalise its impeachment inquiry into President Joe Biden.
But they have yet to present evidence of wrongdoing, and Mr Biden says his opponents are ""attacking me with lies"".
Voting to authorise an inquiry is not the same as voting for impeachment, but it advances the likelihood that the House will eventually seek to impeach Mr Biden.
He said it was a ""sad day for myself, the institution and the American people"" and accused the White House of ""stonewalling"" the impeachment inquiry.
Ex-Speaker Kevin McCarthy launched the inquiry in September and said Republicans had unearthed a ""culture of corruption"" surrounding Mr Biden."
https://www.bbc.com/news/world-us-canada-67706835,Bridget Ziegler: Florida school board pushes member to resign amid sexual assault scandal,['Author not found'],"Bridget Ziegler: Florida school board pushes member to resign amid sexual assault scandal

By Nadine Yousif BBC News

Getty Images

Bridget Ziegler has been a member of the Sarasota County School Board since 2014

A Florida school board is demanding the resignation of one of its members, whose husband, the Republican Party state chairman, is being investigated for sexual assault.

The Sarasota County School Board voted 4-1 for a resolution requesting that Bridget Ziegler step down.

Her husband, Christian Ziegler, is facing accusations of rape.

No charges have been filed against him, and through his lawyer Mr Ziegler has denied the allegations.

The vote on Tuesday to remove Ms Zeigler was brought by Chair Karen Rose, who said in an email that she was ""deeply shocked and saddened"" by the accusations and believed media scrutiny of the couple ""would cause irreparably harmful distractions"".

Ms Ziegler, co-founder of the conservative Moms for Liberty group, was the sole vote against the resolution. She also did not indicate that she would resign from the board, where she has served for nearly a decade.

In Florida, the governor is the only person who can fire school board members.

The alleged assault occurred on 2 October at a home in Sarasota, in south-west Florida, according to a heavily redacted document from police that included several mentions of rape and sexual battery.

An investigation is ongoing.

The influential Republican couple had been involved in a years-long sexual relationship with the woman who filed the police complaint, according to the Florida Trident, which first reported on the accusations.

Citing ""sources close to the investigation,"" the news site, which is run by the non-profit Florida Center for Government Accountability, also reported the alleged attack occurred at the woman's home, when she and Mr Ziegler were alone.

Mr Ziegler's lawyer, Derek Byrd, told the BBC that ""we are confident that once the police investigation is concluded that no charges will be filed and Mr Ziegler will be completely exonerated"".

Getty Images

Christian Ziegler has denied the sexual assault allegations against him

Mr Ziegler is resisting pressure from Florida Governor Ron DeSantis and other conservatives to resign from his post as chairman of the state's Republican party, which he has held since February.

""We have a country to save and I am not going to let false allegations of a crime put that mission on the bench,"" he said.

Along with the accusations of violence, the revelation that Ms Ziegler had a relationship with a woman is deeply troubling to some in the state. Ms Ziegler has backed Mr DeSantis' controversial ""Don't Say Gay"" law.

Democrat critics say the allegations are at odds with the emphasis the couple placed politically on ""family values"".","Bridget Ziegler: Florida school board pushes member to resign amid sexual assault scandalBy Nadine Yousif BBC NewsGetty ImagesBridget Ziegler has been a member of the Sarasota County School Board since 2014A Florida school board is demanding the resignation of one of its members, whose husband, the Republican Party state chairman, is being investigated for sexual assault.
The Sarasota County School Board voted 4-1 for a resolution requesting that Bridget Ziegler step down.
No charges have been filed against him, and through his lawyer Mr Ziegler has denied the allegations.
Ms Ziegler, co-founder of the conservative Moms for Liberty group, was the sole vote against the resolution.
Along with the accusations of violence, the revelation that Ms Ziegler had a relationship with a woman is deeply troubling to some in the state."
https://www.bbc.com/news/world-us-canada-67708719,The moment Oprah's portrait for national gallery is unveiled,['Author not found'],"Copyright 2023 BBC. All rights reserved. The BBC is not responsible for the content of external sites. Read about our approach to external linking.

Beta Terms By using the Beta Site, you agree that such use is at your own risk and you know that the Beta Site may include known or unknown bugs or errors, that we have no obligation to make this Beta Site available with or without charge for any period of time, nor to make it available at all, and that nothing in these Beta Terms or your use of the Beta Site creates any employment relationship between you and us. The Beta Site is provided on an “as is” and “as available” basis and we make no warranty to you of any kind, express or implied.

In case of conflict between these Beta Terms and the BBC Terms of Use these Beta Terms shall prevail.","Copyright 2023 BBC.
The BBC is not responsible for the content of external sites.
Read about our approach to external linking.
The Beta Site is provided on an “as is” and “as available” basis and we make no warranty to you of any kind, express or implied.
In case of conflict between these Beta Terms and the BBC Terms of Use these Beta Terms shall prevail."
https://www.bbc.com/news/world-us-canada-67707317,US Supreme Court to consider abortion pill case,['Author not found'],"US Supreme Court to consider abortion pill case

By Kayla Epstein & Holly Honderich BBC News

Getty Images

The top court has agreed to take up a case challenging the commonly used pill

The US Supreme Court will decide whether to restrict access to a commonly used abortion pill.

It will be the most significant US reproductive rights case after the court overturned Roe v Wade, ending a nationwide right to abortion.

The Biden administration had asked the court to overturn a decision to limit access to the drug mifepristone over anti-abortion groups' safety concerns.

The pill has been legal in the US since 2000 and research has shown it is safe.

The Supreme Court, which has a 6-3 conservative majority, will hear arguments early next year. A ruling is expected next summer, months before the next presidential election.

This current clash over access began in November 2022, when an umbrella group of anti-abortion doctors and activists known as the Alliance for Hippocratic Medicine sued in Texas. They claimed the Food and Drug Administration (FDA) had unlawfully approved the drug and alleged the pill was unsafe.

The case puts the court back in the position to decide American reproductive rights, less than two years after overturning Roe v Wade - a landmark 1973 ruling that guaranteed abortion access in the US.

Since the court nixed the decades-old decision, nearly two dozen states have moved to ban or restrict abortion procedures. Other states have moved to expand access by adding legal safeguards.

More recently, that battle over abortion has centred on medication abortions, now the most common method of ending pregnancies in the US, according to the Guttmacher Institute, a pro-abortion research group.

The two drug-regimen was approved for use up to 10 weeks of pregnancy by the FDA in 2000. When used, a patient is first given mifepristone to induce an abortion and then misoprostol to empty the uterus.

Since 2016, the FDA has further eased access to the drug. The agency has allowed doctors to meet patients via telemedicine and prescriptions to be sent by mail.

Over its two decades of use, the FDA, the American College of Obstetrics and Gynaecologists (ACOG) and other mainstream medical organisations have maintained that both drugs are safe.

Abortion advocates have long championed medication abortion as a less expensive and less invasive method of ending pregnancy. Anti-abortion groups have countered with claims that abortion pills - cast as ""chemical abortion"" - are ineffective and dangerous.

In April, Texas Judge Matthew Kacsmaryk, who has shared anti-abortion views publicly, sided with those suing and imposed a nationwide ban on mifepristone. He argued the FDA had erred in its scientific assessment of the drug and violated federal rules that allow some drugs to be approved more quickly.

An appeals court later allowed the drug to remain on the market with some restrictions. The Supreme Court then paused the rulings while the case played out.

The justices said on Wednesday they would decide whether to keep recent restrictions implemented by the lower courts. The Supreme Court's ruling could bring back earlier rules, requiring patients to visit a doctor's office for a prescription and to pick up the drug in person.

The Supreme Court declined to reconsider mifepristone's FDA approval, however, suggesting the justices are unlikely to completely pull the pill from the market.

The decision could affect abortion access for millions of women, particularly in states where abortion access is severely restricted.

Watch: Abortion pills explained in 60 seconds

Nancy Northup, the president of pro-choice group Center for Reproductive Rights applauded the court's review of the ""erroneous"" restrictions on mifepristone.

""Abortion pills have been used safely in the US for more than 20 years, and they are more important than ever in this post-Roe landscape. That is precisely why the anti-abortion movement is attacking them,"" she said in a statement.

Some anti-abortion groups also welcomed the court's decision, alleging the case would illuminate the dangers of abortion pills.

In a statement, policy director of anti-abortion group Susan B Anthony Pro-Life America Katie Daniel told the BBC that the FDA ""has misled the American people with its repeated claims that the abortion pill regimen is 'safe and effective'"". She blasted the agency for allowing telemedicine and mailed prescriptions.

US studies say medication abortion is effective at ending pregnancy about 95% of the time and there is less than 1% chance of further medical follow-up.

Deaths associated with mifepristone since its approval are fewer than those linked to common antibiotics used to treat bronchitis, sore throats, and other bacterial infections.

The court's decision could have major implications for other FDA-approved drugs as well, Carl Tobias, a law professor at the University of Richmond, said.","US Supreme Court to consider abortion pill caseBy Kayla Epstein & Holly Honderich BBC NewsGetty ImagesThe top court has agreed to take up a case challenging the commonly used pillThe US Supreme Court will decide whether to restrict access to a commonly used abortion pill.
The Supreme Court, which has a 6-3 conservative majority, will hear arguments early next year.
The Supreme Court then paused the rulings while the case played out.
The Supreme Court declined to reconsider mifepristone's FDA approval, however, suggesting the justices are unlikely to completely pull the pill from the market.
The decision could affect abortion access for millions of women, particularly in states where abortion access is severely restricted."
https://www.bbc.com/news/world-us-canada-67655557,"Men accused of killing 3,600 birds including eagles",['Author not found'],"Men accused of killing 3,600 birds including eagles

By Mike Wendling BBC News

Getty Images

The bald eagle was once considered endangered throughout much of the United States, but has made a comeback

Two US men have been charged with illegally killing about 3,600 birds, including bald and golden eagles.

Simon Paul and Travis John Branson allegedly shot the birds over several years and sold parts and feathers on the black market.

They were charged with conspiracy, violating the Bald and Golden Eagle Protection Act, and illegal trafficking.

The two men were ordered to appear in court in January.

An indictment publicly released on Wednesday alleges that they killed birds on the Flathead Indian Reservation in western Montana and elsewhere.

The indictment said Mr Branson sent messages bragging about ""committing felonies"" and going ""on a killing spree"", and that the pair sold the birds and their feathers for ""significant sums of cash"".

At one point, the men laid out a deer carcass to attract the birds before shooting them.

The indictment lists 13 separate instances of alleged violations of the Eagle Protection Act, but prosecutors did not specify what other types of birds the men killed or if many were rare or endangered.

Prosecutors declined to give further details when contacted on Wednesday.

Mr Branson, 48, lives in Washington state and Mr Paul, 42, is from a Montana town close to the Flathead Reservation. Neither could be reached for comment on Wednesday and court documents did not list attorneys for the men.

The bald eagle is the national bird of the United States and is depicted on both the currency and the national seal.

It was endangered in many places in the middle of the 20th Century due to hunting, loss of habitat and the use of DDT, an insecticide that makes the birds unable to lay eggs with strong shells. It was banned in 1972.

According to the US Fish and Wildlife Service, just 417 nesting pairs of bald eagles were known to exist in 1963, but conservation efforts led to a strong comeback and the bird is no longer considered endangered.","Men accused of killing 3,600 birds including eaglesBy Mike Wendling BBC NewsGetty ImagesThe bald eagle was once considered endangered throughout much of the United States, but has made a comebackTwo US men have been charged with illegally killing about 3,600 birds, including bald and golden eagles.
Simon Paul and Travis John Branson allegedly shot the birds over several years and sold parts and feathers on the black market.
An indictment publicly released on Wednesday alleges that they killed birds on the Flathead Indian Reservation in western Montana and elsewhere.
At one point, the men laid out a deer carcass to attract the birds before shooting them.
The bald eagle is the national bird of the United States and is depicted on both the currency and the national seal."
https://www.bbc.com/news/science-environment-67701544,Examining COP28's potential impact on climate change,['Author not found'],"Examining COP28's potential impact on climate change

By Matt McGrath Environment correspondent at COP28

Reuters

There's huge relief at an agreement. Will it make an impact?

Once the gavel came down in Dubai, the warm words flowed - but will it really have an impact on climate change?

The agreement reached in this glitzy metropolis for the first time nails the role of fossil fuel emissions in driving up temperatures and outlines a future decline for coal, oil and gas.

In UN terms that is historic, and the biggest step forward on climate since the Paris agreement in 2015.

But by itself, will this deal be enough to save the ""north star"" of this COP - keeping temperatures under 1.5C this century?

Most likely not.

The major element of the deal, the transition away from fossil fuels in energy systems, is indeed a landmark moment.

But the language is far weaker than many countries desired.

The UAE presidency had included strong text on the idea of a fossil fuel phase out from the start of the meeting.

But in the face of opposition from many, they dropped it from their first attempt at a draft agreement,

Cue fury among progressives and much finger pointing at oil producers.

Getty Images

South Sudan - one of many countries ravaged by the effects of climate change

This wasn't all the fault of countries like Saudi Arabia.

A key factor in softening the text was the attitude of middle-income developing countries who were very uncertain about the much hyped phased out of fossil fuels.

For Nigeria, Uganda, Colombia and others there were complaints that they needed to use revenues from the sale of coal, oil and gas to ensure they could pay for the transition to greener energy.

Colombia complained that by moving away from fossil fuels, credit agencies had downgraded their rating, meaning that international loans to go green would cost them far more.

The final pact now calls on countries to ""transition away"" from fossil fuels specifically for energy systems, but not for plastics, transport or agriculture.

The agreement also has many other elements that will help limit emissions including a new commitment to triple renewables and energy efficiency by 2030.

This will see wind and solar displace some coal, oil and gas.

Getty Images

Another important factor is the requirement for countries to submit stronger carbon cutting plans by 2025.

If China and India put a rapid transition to green energy at the heart of these new commitments, that could make a massive difference to the global effort.

But there is also a recognition of the role of ""transitional fuels"" in the agreement - which is UN code for continuing use of natural gas.

There is also support for the use of carbon capture and storage, a technology that oil producers want to use to continue drilling.

Small island states were also irate that the deal was gavelled through while they weren't in the room.

They see the lack of greater short-term emissions cuts as the key weakness that threatens their way of life.

""We feel you, we see you. And we see that this text might not be enough for you, or your children,"" said German foreign minister Annalena Baerbock.

She said the deal in Dubai is just a starting point - and I think that is an important takeaway.

Observers here believe that this meeting and the next two COPs, in Azerbaijan and Brazil, are part of a package deal that will help the world correct course on climate.

The view is that with the cost of renewables continuing to fall, the pressure on fossil fuels will continue to grow.","Examining COP28's potential impact on climate changeBy Matt McGrath Environment correspondent at COP28ReutersThere's huge relief at an agreement.
Once the gavel came down in Dubai, the warm words flowed - but will it really have an impact on climate change?
The major element of the deal, the transition away from fossil fuels in energy systems, is indeed a landmark moment.
Colombia complained that by moving away from fossil fuels, credit agencies had downgraded their rating, meaning that international loans to go green would cost them far more.
The view is that with the cost of renewables continuing to fall, the pressure on fossil fuels will continue to grow."
https://www.bbc.com/news/business-67708832,Federal Reserve signals interest rate cuts next year,['Author not found'],"Federal Reserve signals interest rate cuts next year

By Natalie Sherman Business reporter, New York

Getty Images

The US central bank has signalled it could start cutting interest rates next year if inflation continues to fall.

Forecasts released by the Federal Reserve showed a majority of policymakers expect to cut its key interest rate in 2024.

But on Wednesday the central bank decided to keep rates unchanged again at 5.25%-5.5%, a 22-year high.

Markets surged on signs borrowing costs could be reduced next year, with the Dow Jones closing at a new record high.

The three major indexes in the US ended the day up 1.4%.

The bank has raised rates sharply since March 2022, in a bid to cool the economy and slow price rises, which last year soared at the fastest rate in decades.

""It is far too early to declare victory,"" said bank chairman Jerome Powell. ""There is a lot of uncertainty and we've seen the economy move in surprising directions, so we're just going to need to see further progress.""

But the Fed's confidence is growing.

Projections released after the meeting showed that none of the rate-setting committee members believed they would have to raise rates further in 2024.

Instead, a majority of policymakers now expect to cut rates below 5% next year - a big shift from a few months ago.

""This gives real credence to the view that [the Fed] thinks inflation is under control and believes that policy is producing the right outcome for the economy,"" said Neil Birrell, chief investment officer at Premier Miton Investors, a London-based asset management firm.

The Fed announcement came ahead of a number of central bank meetings in Europe. The Bank of England, which meets on Thursday, is also expected to hold interest rates again.

In a press conference after the announcement, Mr Powell said he welcomed signs that inflation, the rate at which prices rise, had slowed.

But Mr Powell said the bank remained alert to the risks of rising prices, noting that inflation remained above the 2% rate that the bank wants to see.

While Fed policymakers do not expect any further hikes, Mr Powell said they did not want to take the option off the table.

""If the economy does not evolve as projected, the path of policy will adjust,"" he said.

Inflation in the US has already come down significantly since its 9.1% peak in June 2022.

Prices were up 3.1% last month, compared with a year earlier, according to Labor Department figures released this week.

Fed members expect inflation to fall further next year, but do not expect it to return to the 2% target rate until 2026.

By making borrowing more expensive, higher interest rates encourage saving and reduce borrowing for home purchases and business investments, cooling the economy and easing the pressures pushing up prices.

Officials expect the US economy to grow by 1.4% next year, which is significantly slower than this year's pace.","Federal Reserve signals interest rate cuts next yearBy Natalie Sherman Business reporter, New YorkGetty ImagesThe US central bank has signalled it could start cutting interest rates next year if inflation continues to fall.
Forecasts released by the Federal Reserve showed a majority of policymakers expect to cut its key interest rate in 2024.
The Bank of England, which meets on Thursday, is also expected to hold interest rates again.
Fed members expect inflation to fall further next year, but do not expect it to return to the 2% target rate until 2026.
By making borrowing more expensive, higher interest rates encourage saving and reduce borrowing for home purchases and business investments, cooling the economy and easing the pressures pushing up prices."
https://www.bbc.com/news/world-us-canada-67711250,"Biden committed to freeing US hostages in Gaza, families say",['Author not found'],"Biden committed to freeing US hostages in Gaza, families say

By Chloe Kim BBC News

Getty Images

Families of hostages held by Hamas meet with Biden for the first time in-person

The families of US hostages held by Hamas say they believe President Joe Biden is doing everything he can to secure the release of their loved ones.

The administration is ""completely committed"" to getting them home, one relative said after meeting Mr Biden.

There are believed to be eight Americans still held in Gaza.

The meeting came a day after Mr Biden said Israel is starting to lose global support over its ""indiscriminate bombing"" of the enclave.

This was the first in-person meeting family members of US hostages had with the president after a first virtual meeting in October.

Secretary of State Antony Blinken and Deputy National Security Advisor Jon Finer were also in attendance.

After the meeting, thirteen relatives held up photos of their loved ones as they spoke to the press outside the White House.

Jonathan Dekel-Chen, father of 35-year-old hostage Sagui Dekel-Chen, said they came away with the feeling that they ""could have no better friend in Washington or in the White House than President Biden himself and his administration"".

The meeting came as Mr Biden faces scrutiny over his strongest criticism yet of Israel's leadership, made on Tuesday during a fundraising event.

The president said that while Israel ""has most of the world"" supporting it, ""they're starting to lose that support by the indiscriminate bombing that takes place"".

He also said Israeli Prime Minister Benjamin Netanyahu must ""change"", adding that ""this government in Israel is making it very difficult"".

Mr Biden has offered unwavering public support to the country since Hamas launched its attacks on 7 October.

His remarks align with his administration's recent approach to the war, with officials urging Israel to ""put a premium on human life"".

On Wednesday, the White House said Mr Biden's remarks ""reflected the reality of global opinion"".

""Our support for Israel is not diminished,"" White House security spokesman John Kirby said at a press conference.

""But we have had concerns and we have expressed those concerns about the prosecution of this military campaign, even while acknowledging that it's Hamas that started this.""

Mr Kirby added: ""It's reflective of our constant efforts to urge the Israelis to be as precise and careful as possible"".

Hamas broke through Israel's heavily guarded perimeter on 7 October, killing 1,200 people and taking 240 hostages - some of whom were released during a brief truce

The Hamas-run health ministry in Gaza says 18,600 people have been killed and 50,000 injured in the enclave since the start of the war.

Mr Kirby did not go into detail on what Mr Biden meant when he said Mr Netanyahu must ""change"", saying: ""It's not for us to to dictate terms to a foreign sovereign government.""

On Tuesday, Mr Netanyahu said Israel had received the ""full backing"" of the US for its ground war as well as its goal of destroying Hamas and recovering hostages.

""Yes, there is disagreement about 'the day after Hamas' and I hope that we will reach [an] agreement here as well,"" he said.

Meanwhile, families of some other Americans detained abroad stood outside the White House on Wednesday as the president hosted relatives of hostages in Gaza.

They said the administration has ignored repeated pleas for a meeting.","Biden committed to freeing US hostages in Gaza, families sayBy Chloe Kim BBC NewsGetty ImagesFamilies of hostages held by Hamas meet with Biden for the first time in-personThe families of US hostages held by Hamas say they believe President Joe Biden is doing everything he can to secure the release of their loved ones.
The administration is ""completely committed"" to getting them home, one relative said after meeting Mr Biden.
The meeting came a day after Mr Biden said Israel is starting to lose global support over its ""indiscriminate bombing"" of the enclave.
The meeting came as Mr Biden faces scrutiny over his strongest criticism yet of Israel's leadership, made on Tuesday during a fundraising event.
Meanwhile, families of some other Americans detained abroad stood outside the White House on Wednesday as the president hosted relatives of hostages in Gaza."
https://www.bbc.com/news/world-us-canada-67710329,Supreme Court to hear appeal that could undo Capitol riot charges,['Author not found'],"Supreme Court to hear appeal that could undo Capitol riot charges

By Kayla Epstein BBC News

Getty Images

The US Supreme Court has agreed to hear a legal challenge that could undo hundreds of charges relating to the Capitol riot on 6 January 2021.

On Wednesday, it said its justices would review the charge of obstruction of an official proceeding.

Some 300 people have been charged with that statute for alleged crimes committed during the Capitol riot.

Former President Donald Trump is also charged with that count in the federal investigation being led by Jack Smith.

The top court's eventual decision could upend all of those charges and potentially delay the start of Mr Trump's trial on 4 March.

The man who brought the appeal, Joseph Fischer, says the law has been applied incorrectly against people charged over their involvement in the riot.

Federal prosecutors say Mr Fischer was one of thousands who participated in the attack on Congress to prevent it from carrying out the certification of the 2020 election results.

He claims that the law, which was created in the wake of an accounting scandal in 2002 to prevent corporate malfeasance during trials, has been unreasonably stretched to apply to those charged over the violence.

Lawyers for Mr Fischer say those who stormed the Capitol were not acting ""corruptly"" as the law demands. Instead, they say rioters were protesting what they honestly believed to be a stolen election.

But the justice department has argued that ""official proceeding"" could refer to a proceeding of Congress.

The Supreme Court's decision to hear the matter could have consequences for Special Counsel Jack Smith's prosecution of Mr Trump for his alleged efforts to overturn the 2020 election results.

In August, Mr Smith charged the former president with obstruction of an official proceeding and three other federal crimes. Mr Trump pleaded not guilty to the charges and claimed he was the victim of a political ""witch hunt"".

Mr Fischer's attorneys' specifically noted the connection in their petition to the court. The case ""presents an important question of federal law affecting hundreds of prosecutions arising from January 6, including the prosecution of former President Donald Trump,"" they wrote.

Earlier, a US District Court judge ruled in favour of Mr Fischer and two others charged in connection to the riot, but a subsequent appeals court voted 2-1 to overturn that ruling.

Appellate Judge Florence Pan wrote that the Justice Department's ""broad interpretation of the statute…is unambiguous and natural"".

Her colleague, Judge Gregory Katsas, dissented, writing the government was ""mistaken"" and that its interpretation ""hard to reconcile"" with the history of the statute.

In September, Mr Fischer had asked the US Supreme Court to consider his case. The court agreed to hear it in a series of announcements on Wednesday, which also included a high-profile abortion pill case.

Those following the federal Capitol riot investigation will be closely watching the Supreme Court as it weighs Mr Fischer's case.

It marks the second 6 January-related case to come before the Supreme Court in recent days.","Supreme Court to hear appeal that could undo Capitol riot chargesBy Kayla Epstein BBC NewsGetty ImagesThe US Supreme Court has agreed to hear a legal challenge that could undo hundreds of charges relating to the Capitol riot on 6 January 2021.
Some 300 people have been charged with that statute for alleged crimes committed during the Capitol riot.
Mr Trump pleaded not guilty to the charges and claimed he was the victim of a political ""witch hunt"".
Those following the federal Capitol riot investigation will be closely watching the Supreme Court as it weighs Mr Fischer's case.
It marks the second 6 January-related case to come before the Supreme Court in recent days."
